itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
1,1,74192,533528,UA,1946, ,6, ,2,J,UA,1946,ORD,IAD
1,2,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
2,1,87010,627821,UA,2184, ,17, ,3,J,UA,2184,ORD,EWR
2,2,132,906,UA,14, ,2, ,1,J,UA,14,EWR,LHR
3,1,186607,273338,UA,8308, ,8, ,1,J,AC,508,ORD,YYZ
3,2,185978,269921,UA,8268, ,1, ,1,J,AC,856,YYZ,LHR
4,1,16521,119205,UA,534, ,21, ,1,J,UA,534,ORD,EWR
4,2,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
5,1,69462,499703,UA,1845, ,3, ,1,J,UA,1845,ORD,YYZ
5,2,188087,281357,UA,8412, ,5, ,1,J,AC,858,YYZ,LHR
6,1,19821,142970,UA,600, ,13, ,2,J,UA,600,ORD,EWR
6,2,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
7,1,140763,23361,UA,5271, ,4, ,1,J,UA,5271,ORD,YYZ
7,2,186568,273134,UA,8306, ,1, ,1,J,AC,854,YYZ,LHR
8,1,87010,627821,UA,2184, ,17, ,3,J,UA,2184,ORD,EWR
8,2,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
9,1,43265,309160,UA,1332, ,8, ,2,J,UA,1332,ORD,EWR
9,2,172,1184,UA,16, ,4, ,1,J,UA,16,EWR,LHR
10,1,52443,376292,UA,1502, ,18, ,2,J,UA,1502,ORD,IAD
10,2,30320,218551,UA,918, ,2, ,1,J,UA,918,IAD,LHR
11,1,19130,137927,UA,587, ,7, ,2,J,UA,587,ORD,EWR
11,2,132,906,UA,14, ,2, ,1,J,UA,14,EWR,LHR
12,1,19821,142970,UA,600, ,13, ,2,J,UA,600,ORD,EWR
12,2,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
13,1,20163,145447,UA,606, ,9, ,1,J,UA,606,ORD,EWR
13,2,172,1184,UA,16, ,4, ,1,J,UA,16,EWR,LHR
14,1,187095,275919,UA,8344, ,2, ,1,J,AC,8960,ORD,YUL
14,2,186405,272243,UA,8296, ,1, ,1,J,AC,864,YUL,LHR
15,1,119660,870910,UA,3612, ,5, ,1,J,UA,3612,ORD,YYZ
15,2,188087,281357,UA,8412, ,5, ,1,J,AC,858,YYZ,LHR
16,1,87010,627821,UA,2184, ,17, ,3,J,UA,2184,ORD,EWR
16,2,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
17,1,19130,137927,UA,587, ,7, ,2,J,UA,587,ORD,EWR
17,2,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
18,1,19821,142970,UA,600, ,13, ,2,J,UA,600,ORD,EWR
18,2,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
19,1,96507,697900,UA,2347, ,19, ,1,J,UA,2347,ORD,DEN
19,2,299,2064,UA,27, ,2, ,1,J,UA,27,DEN,LHR
20,1,87010,627821,UA,2184, ,17, ,3,J,UA,2184,ORD,EWR
20,2,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
21,1,140763,23361,UA,5271, ,4, ,1,J,UA,5271,ORD,YYZ
21,2,185978,269921,UA,8268, ,1, ,1,J,AC,856,YYZ,LHR
22,1,121261,883385,UA,3674, ,4, ,1,J,UA,3674,ORD,YYZ
22,2,186568,273134,UA,8306, ,1, ,1,J,AC,854,YYZ,LHR
23,1,69970,503422,UA,1856, ,7, ,2,J,UA,1856,ORD,EWR
23,2,172,1184,UA,16, ,4, ,1,J,UA,16,EWR,LHR
24,1,186607,273338,UA,8308, ,8, ,1,J,AC,508,ORD,YYZ
24,2,188087,281357,UA,8412, ,5, ,1,J,AC,858,YYZ,LHR
25,1,71361,513278,UA,1883, ,10, ,1,J,UA,1883,ORD,DEN
25,2,299,2064,UA,27, ,2, ,1,J,UA,27,DEN,LHR
26,1,43265,309160,UA,1332, ,8, ,2,J,UA,1332,ORD,EWR
26,2,132,906,UA,14, ,2, ,1,J,UA,14,EWR,LHR
27,1,19130,137927,UA,587, ,7, ,2,J,UA,587,ORD,EWR
27,2,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
28,1,74987,539456,UA,1960, ,8, ,2,J,UA,1960,ORD,IAH
28,2,48,309,UA,5, ,2, ,1,J,UA,5,IAH,LHR
29,1,20163,145447,UA,606, ,9, ,1,J,UA,606,ORD,EWR
29,2,132,906,UA,14, ,2, ,1,J,UA,14,EWR,LHR
30,1,43265,309160,UA,1332, ,8, ,2,J,UA,1332,ORD,EWR
30,2,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
31,1,182401,250402,UA,8027, ,3, ,1,J,AC,8904,ORD,YYZ
31,2,186568,273134,UA,8306, ,1, ,1,J,AC,854,YYZ,LHR
32,1,119268,867864,UA,3593, ,9, ,1,J,UA,3593,ORD,YUL
32,2,186405,272243,UA,8296, ,1, ,1,J,AC,864,YUL,LHR
33,1,19130,137927,UA,587, ,7, ,2,J,UA,587,ORD,EWR
33,2,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
34,1,106241,769439,UA,2616, ,8, ,2,J,UA,2616,ORD,DEN
34,2,299,2064,UA,27, ,2, ,1,J,UA,27,DEN,LHR
35,1,107155,776030,UA,2638, ,10, ,2,J,UA,2638,ORD,IAH
35,2,30027,216569,UA,880, ,1, ,1,J,UA,880,IAH,LHR
36,1,93941,678782,UA,2301, ,10, ,1,J,UA,2301,ORD,EWR
36,2,172,1184,UA,16, ,4, ,1,J,UA,16,EWR,LHR
37,1,20163,145447,UA,606, ,9, ,1,J,UA,606,ORD,EWR
37,2,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
38,1,121261,883385,UA,3674, ,4, ,1,J,UA,3674,ORD,YYZ
38,2,185978,269921,UA,8268, ,1, ,1,J,AC,856,YYZ,LHR
39,1,108138,783211,UA,2657, ,17, ,1,J,UA,2657,ORD,IAH
39,2,48,309,UA,5, ,2, ,1,J,UA,5,IAH,LHR
40,1,69970,503422,UA,1856, ,7, ,2,J,UA,1856,ORD,EWR
40,2,132,906,UA,14, ,2, ,1,J,UA,14,EWR,LHR
41,1,43265,309160,UA,1332, ,8, ,2,J,UA,1332,ORD,EWR
41,2,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
42,1,52443,376292,UA,1502, ,18, ,2,J,UA,1502,ORD,IAD
42,2,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
43,1,45195,324024,UA,1357, ,14, ,1,J,UA,1357,ORD,IAD
43,2,30320,218551,UA,918, ,2, ,1,J,UA,918,IAD,LHR
44,1,140763,23361,UA,5271, ,4, ,1,J,UA,5271,ORD,YYZ
44,2,188087,281357,UA,8412, ,5, ,1,J,AC,858,YYZ,LHR
45,1,69970,503422,UA,1856, ,7, ,2,J,UA,1856,ORD,EWR
45,2,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
46,1,43265,309160,UA,1332, ,8, ,2,J,UA,1332,ORD,EWR
46,2,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
47,1,20163,145447,UA,606, ,9, ,1,J,UA,606,ORD,EWR
47,2,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
48,1,182401,250402,UA,8027, ,3, ,1,J,AC,8904,ORD,YYZ
48,2,185978,269921,UA,8268, ,1, ,1,J,AC,856,YYZ,LHR
49,1,188967,286136,UA,8472, ,3, ,1,J,AC,8900,ORD,YYZ
49,2,186568,273134,UA,8306, ,1, ,1,J,AC,854,YYZ,LHR
50,1,82308,592942,UA,2099, ,12, ,2,J,UA,2099,ORD,IAH
50,2,30027,216569,UA,880, ,1, ,1,J,UA,880,IAH,LHR
51,1,67533,485889,UA,1803, ,6, ,2,J,UA,1803,ORD,DEN
51,2,299,2064,UA,27, ,2, ,1,J,UA,27,DEN,LHR
52,1,20163,145447,UA,606, ,9, ,1,J,UA,606,ORD,EWR
52,2,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
53,1,17869,128722,UA,563, ,8, ,1,J,UA,563,ORD,EWR
53,2,172,1184,UA,16, ,4, ,1,J,UA,16,EWR,LHR
54,1,93941,678782,UA,2301, ,10, ,1,J,UA,2301,ORD,EWR
54,2,132,906,UA,14, ,2, ,1,J,UA,14,EWR,LHR
55,1,38279,273638,UA,1209, ,6, ,2,J,UA,1209,ORD,EWR
55,2,30521,219953,UA,934, ,21, ,1,J,UA,934,EWR,LHR
56,1,69970,503422,UA,1856, ,7, ,2,J,UA,1856,ORD,EWR
56,2,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
57,1,107155,776030,UA,2638, ,10, ,2,J,UA,2638,ORD,IAH
57,2,48,309,UA,5, ,2, ,1,J,UA,5,IAH,LHR
58,1,39363,281470,UA,1231, ,8, ,1,J,UA,1231,ORD,IAH
58,2,30027,216569,UA,880, ,1, ,1,J,UA,880,IAH,LHR
59,1,32713,234919,UA,1049, ,12, ,1,J,UA,1049,ORD,DEN
59,2,299,2064,UA,27, ,2, ,1,J,UA,27,DEN,LHR
60,1,82308,592942,UA,2099, ,12, ,2,J,UA,2099,ORD,IAH
60,2,48,309,UA,5, ,2, ,1,J,UA,5,IAH,LHR
61,1,68399,492034,UA,1823, ,8, ,1,J,UA,1823,ORD,IAH
61,2,30027,216569,UA,880, ,1, ,1,J,UA,880,IAH,LHR
62,1,81768,588761,UA,2091, ,4, ,2,J,UA,2091,ORD,RDU
62,2,81769,588769,UA,2091, ,4, ,3,J,UA,2091,RDU,IAD
62,3,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
63,1,154606,133160,UA,6052, ,3, ,1,J,UA,6052,ORD,IND
63,2,78714,566501,UA,2033, ,3, ,1,J,UA,2033,IND,IAD
63,3,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
64,1,139469,13267,UA,5138, ,2, ,1,J,UA,5138,ORD,MGW
64,2,138407,5311,UA,5051, ,4, ,1,J,UA,5051,MGW,IAD
64,3,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
65,1,118887,864912,UA,3577, ,3, ,1,J,UA,3577,ORD,CLE
65,2,58293,418635,UA,1623, ,7, ,1,J,UA,1623,CLE,IAD
65,3,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
66,1,27175,196757,UA,752, ,10, ,1,J,UA,752,ORD,DCA
66,2,187177,276355,UA,8351, ,5, ,1,J,AC,8824,DCA,YUL
66,3,186405,272243,UA,8296, ,1, ,1,J,AC,864,YUL,LHR
67,1,130787,949023,UA,4534, ,2, ,1,J,UA,4534,ORD,CVG
67,2,129251,938483,UA,4453, ,3, ,1,J,UA,4453,CVG,IAD
67,3,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
68,1,132550,961266,UA,4617, ,8, ,1,J,UA,4617,ORD,CMH
68,2,5597,38700,UA,310, ,5, ,1,J,UA,310,CMH,IAD
68,3,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
69,1,91575,661229,UA,2265, ,6, ,1,J,UA,2265,ORD,DCA
69,2,131288,952456,UA,4560, ,10, ,1,J,UA,4560,DCA,EWR
69,3,172,1184,UA,16, ,4, ,1,J,UA,16,EWR,LHR
70,1,121670,886615,UA,3690, ,3, ,1,J,UA,3690,ORD,IND
70,2,78714,566501,UA,2033, ,3, ,1,J,UA,2033,IND,IAD
70,3,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
71,1,119768,871736,UA,3616, ,6, ,1,J,UA,3616,ORD,DCA
71,2,124533,906195,UA,4174, ,11, ,1,J,UA,4174,DCA,EWR
71,3,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
72,1,42350,302488,UA,1314, ,12, ,1,J,UA,1314,ORD,DCA
72,2,124664,907100,UA,4180, ,13, ,1,J,UA,4180,DCA,EWR
72,3,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
73,1,121344,884039,UA,3676, ,5, ,1,J,UA,3676,ORD,RIC
73,2,121760,887321,UA,3695, ,5, ,1,J,UA,3695,RIC,EWR
73,3,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
74,1,121397,884475,UA,3678, ,2, ,1,J,UA,3678,ORD,CLE
74,2,120241,875437,UA,3633, ,7, ,1,J,UA,3633,CLE,EWR
74,3,132,906,UA,14, ,2, ,1,J,UA,14,EWR,LHR
75,1,52443,376292,UA,1502, ,18, ,2,J,UA,1502,ORD,IAD
75,2,68732,494463,UA,1831, ,13, ,3,J,UA,1831,IAD,EWR
75,3,132,906,UA,14, ,2, ,1,J,UA,14,EWR,LHR
76,1,121788,887553,UA,3696, ,8, ,1,J,UA,3696,ORD,CVG
76,2,127702,927857,UA,4390, ,16, ,1,J,UA,4390,CVG,EWR
76,3,132,906,UA,14, ,2, ,1,J,UA,14,EWR,LHR
77,1,145771,63132,UA,5525, ,4, ,1,J,UA,5525,ORD,SDF
77,2,116008,842594,UA,3452, ,9, ,1,J,UA,3452,SDF,EWR
77,3,172,1184,UA,16, ,4, ,1,J,UA,16,EWR,LHR
78,1,152419,115902,UA,5890, ,5, ,1,J,UA,5890,ORD,DTW
78,2,115034,834764,UA,3420, ,13, ,1,J,UA,3420,DTW,EWR
78,3,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
79,1,84418,608577,UA,2137, ,14, ,2,J,UA,2137,ORD,ORF
79,2,123353,898493,UA,4023, ,5, ,1,J,UA,4023,ORF,IAD
79,3,30320,218551,UA,918, ,2, ,1,J,UA,918,IAD,LHR
80,1,31867,229517,UA,1020, ,5, ,1,J,UA,1020,ORD,CMH
80,2,121326,883900,UA,3675, ,4, ,1,J,UA,3675,CMH,EWR
80,3,132,906,UA,14, ,2, ,1,J,UA,14,EWR,LHR
81,1,107967,781990,UA,2653, ,5, ,1,J,UA,2653,ORD,RDU
81,2,113560,823459,UA,2856, ,17, ,1,J,UA,2856,RDU,EWR
81,3,172,1184,UA,16, ,4, ,1,J,UA,16,EWR,LHR
82,1,131982,957214,UA,4594, ,4, ,1,J,UA,4594,ORD,DAY
82,2,136352,991103,UA,4824, ,6, ,1,J,UA,4824,DAY,IAD
82,3,30320,218551,UA,918, ,2, ,1,J,UA,918,IAD,LHR
83,1,150362,99571,UA,5756, ,3, ,1,J,UA,5756,ORD,DTW
83,2,155978,142652,UA,6190, ,12, ,1,J,UA,6190,DTW,IAD
83,3,30320,218551,UA,918, ,2, ,1,J,UA,918,IAD,LHR
84,1,121595,886039,UA,3686, ,4, ,1,J,UA,3686,ORD,RIC
84,2,118505,861950,UA,3559, ,5, ,1,J,UA,3559,RIC,EWR
84,3,172,1184,UA,16, ,4, ,1,J,UA,16,EWR,LHR
85,1,26021,188308,UA,729, ,16, ,1,J,UA,729,ORD,IND
85,2,117651,855399,UA,3523, ,7, ,1,J,UA,3523,IND,EWR
85,3,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
86,1,121974,889025,UA,3704, ,2, ,1,J,UA,3704,ORD,CVG
86,2,127887,929154,UA,4398, ,3, ,1,J,UA,4398,CVG,IAD
86,3,30320,218551,UA,918, ,2, ,1,J,UA,918,IAD,LHR
87,1,62613,449369,UA,1719, ,4, ,1,J,UA,1719,ORD,CMH
87,2,110620,802143,UA,2737, ,1, ,1,J,UA,2737,CMH,IAD
87,3,30320,218551,UA,918, ,2, ,1,J,UA,918,IAD,LHR
88,1,145771,63132,UA,5525, ,4, ,1,J,UA,5525,ORD,SDF
88,2,124084,903531,UA,4067, ,5, ,1,J,UA,4067,SDF,IAD
88,3,30320,218551,UA,918, ,2, ,1,J,UA,918,IAD,LHR
89,1,27175,196757,UA,752, ,10, ,1,J,UA,752,ORD,DCA
89,2,128265,931736,UA,4413, ,12, ,1,J,UA,4413,DCA,EWR
89,3,132,906,UA,14, ,2, ,1,J,UA,14,EWR,LHR
90,1,146500,68902,UA,5557, ,16, ,1,J,UA,5557,ORD,IND
90,2,117836,856889,UA,3530, ,8, ,1,J,UA,3530,IND,IAD
90,3,30320,218551,UA,918, ,2, ,1,J,UA,918,IAD,LHR
91,1,98475,712194,UA,2389, ,5, ,2,J,UA,2389,ORD,CLE
91,2,116412,845722,UA,3470, ,3, ,1,J,UA,3470,CLE,IAD
91,3,30320,218551,UA,918, ,2, ,1,J,UA,918,IAD,LHR
92,1,91575,661229,UA,2265, ,6, ,1,J,UA,2265,ORD,DCA
92,2,187177,276355,UA,8351, ,5, ,1,J,AC,8824,DCA,YUL
92,3,186405,272243,UA,8296, ,1, ,1,J,AC,864,YUL,LHR
93,1,145637,62059,UA,5518, ,6, ,1,J,UA,5518,ORD,CVG
93,2,129418,939615,UA,4462, ,7, ,1,J,UA,4462,CVG,EWR
93,3,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
94,1,86831,626454,UA,2182, ,6, ,2,J,UA,2182,ORD,PHL
94,2,158527,156845,UA,6616, ,5, ,1,J,AC,8862,PHL,YUL
94,3,186405,272243,UA,8296, ,1, ,1,J,AC,864,YUL,LHR
95,1,71631,515162,UA,1892, ,18, ,2,J,UA,1892,ORD,CLE
95,2,114639,831646,UA,3404, ,7, ,1,J,UA,3404,CLE,EWR
95,3,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
96,1,99805,721992,UA,2414, ,2, ,1,J,UA,2414,ORD,BNA
96,2,83852,604159,UA,2125, ,2, ,1,J,UA,2125,BNA,IAD
96,3,30320,218551,UA,918, ,2, ,1,J,UA,918,IAD,LHR
97,1,107967,781990,UA,2653, ,5, ,1,J,UA,2653,ORD,RDU
97,2,102680,742985,UA,2463, ,15, ,1,J,UA,2463,RDU,IAD
97,3,30320,218551,UA,918, ,2, ,1,J,UA,918,IAD,LHR
98,1,152419,115902,UA,5890, ,5, ,1,J,UA,5890,ORD,DTW
98,2,117491,854132,UA,3516, ,7, ,1,J,UA,3516,DTW,IAD
98,3,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
99,1,64097,460362,UA,1744, ,7, ,1,J,UA,1744,ORD,CHS
99,2,17331,124998,UA,547, ,4, ,1,J,UA,547,CHS,IAD
99,3,30320,218551,UA,918, ,2, ,1,J,UA,918,IAD,LHR
100,1,121397,884475,UA,3678, ,2, ,1,J,UA,3678,ORD,CLE
100,2,120241,875437,UA,3633, ,7, ,1,J,UA,3633,CLE,EWR
100,3,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
101,1,121595,886039,UA,3686, ,4, ,1,J,UA,3686,ORD,RIC
101,2,129930,943098,UA,4488, ,4, ,1,J,UA,4488,RIC,IAD
101,3,30320,218551,UA,918, ,2, ,1,J,UA,918,IAD,LHR
102,1,51699,370824,UA,1491, ,11, ,2,J,UA,1491,ORD,BOS
102,2,189069,286700,UA,8483, ,2, ,1,J,AC,8607,BOS,YUL
102,3,186405,272243,UA,8296, ,1, ,1,J,AC,864,YUL,LHR
103,1,18025,129811,UA,567, ,20, ,1,J,UA,567,ORD,PIT
103,2,83437,601143,UA,2118, ,10, ,1,J,UA,2118,PIT,IAD
103,3,30320,218551,UA,918, ,2, ,1,J,UA,918,IAD,LHR
104,1,107065,775399,UA,2635, ,4, ,1,J,UA,2635,ORD,CLT
104,2,8674,61918,UA,371, ,9, ,1,J,UA,371,CLT,EWR
104,3,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
105,1,52443,376292,UA,1502, ,18, ,2,J,UA,1502,ORD,IAD
105,2,68732,494463,UA,1831, ,13, ,3,J,UA,1831,IAD,EWR
105,3,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
106,1,121788,887553,UA,3696, ,8, ,1,J,UA,3696,ORD,CVG
106,2,127702,927857,UA,4390, ,16, ,1,J,UA,4390,CVG,EWR
106,3,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
107,1,127521,926616,UA,4382, ,3, ,1,J,UA,4382,ORD,BUF
107,2,129039,937052,UA,4443, ,10, ,1,J,UA,4443,BUF,IAD
107,3,30320,218551,UA,918, ,2, ,1,J,UA,918,IAD,LHR
108,1,81768,588761,UA,2091, ,4, ,2,J,UA,2091,ORD,RDU
108,2,120448,877022,UA,3643, ,9, ,1,J,UA,3643,RDU,EWR
108,3,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
109,1,130836,949370,UA,4536, ,5, ,1,J,UA,4536,ORD,TYS
109,2,136655,993154,UA,4848, ,9, ,1,J,UA,4848,TYS,IAD
109,3,30320,218551,UA,918, ,2, ,1,J,UA,918,IAD,LHR
110,1,26021,188308,UA,729, ,16, ,1,J,UA,729,ORD,IND
110,2,78714,566501,UA,2033, ,3, ,1,J,UA,2033,IND,IAD
110,3,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
111,1,106840,773789,UA,2629, ,8, ,2,J,UA,2629,ORD,LGA
111,2,184636,262536,UA,8185, ,6, ,1,J,AC,8639,LGA,YUL
111,3,186405,272243,UA,8296, ,1, ,1,J,AC,864,YUL,LHR
112,1,152419,115902,UA,5890, ,5, ,1,J,UA,5890,ORD,DTW
112,2,115034,834764,UA,3420, ,13, ,1,J,UA,3420,DTW,EWR
112,3,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
113,1,69970,503422,UA,1856, ,7, ,2,J,UA,1856,ORD,EWR
113,2,184337,260873,UA,8157, ,4, ,1,J,AC,8943,EWR,YUL
113,3,186405,272243,UA,8296, ,1, ,1,J,AC,864,YUL,LHR
114,1,7490,52855,UA,356, ,11, ,2,J,UA,356,ORD,ATL
114,2,107038,775213,UA,2634, ,2, ,1,J,UA,2634,ATL,IAD
114,3,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
115,1,145637,62059,UA,5518, ,6, ,1,J,UA,5518,ORD,CVG
115,2,129251,938483,UA,4453, ,3, ,1,J,UA,4453,CVG,IAD
115,3,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
116,1,31867,229517,UA,1020, ,5, ,1,J,UA,1020,ORD,CMH
116,2,121326,883900,UA,3675, ,4, ,1,J,UA,3675,CMH,EWR
116,3,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
117,1,121061,881877,UA,3666, ,7, ,1,J,UA,3666,ORD,DCA
117,2,131288,952456,UA,4560, ,10, ,1,J,UA,4560,DCA,EWR
117,3,172,1184,UA,16, ,4, ,1,J,UA,16,EWR,LHR
118,1,71631,515162,UA,1892, ,18, ,2,J,UA,1892,ORD,CLE
118,2,58293,418635,UA,1623, ,7, ,1,J,UA,1623,CLE,IAD
118,3,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
119,1,44749,320783,UA,1349, ,23, ,2,J,UA,1349,ORD,MCO
119,2,76937,553803,UA,1997, ,11, ,1,J,UA,1997,MCO,IAD
119,3,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
120,1,16104,116114,UA,528, ,5, ,2,J,UA,528,ORD,DFW
120,2,16105,116123,UA,528, ,5, ,3,J,UA,528,DFW,IAH
120,3,30027,216569,UA,880, ,1, ,1,J,UA,880,IAH,LHR
121,1,26021,188308,UA,729, ,16, ,1,J,UA,729,ORD,IND
121,2,117651,855399,UA,3523, ,7, ,1,J,UA,3523,IND,EWR
121,3,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
122,1,14958,107790,UA,503, ,16, ,1,J,UA,503,ORD,CMH
122,2,5597,38700,UA,310, ,5, ,1,J,UA,310,CMH,IAD
122,3,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
123,1,91719,662266,UA,2267, ,7, ,1,J,UA,2267,ORD,LGA
123,2,185282,266117,UA,8233, ,8, ,1,J,AC,8545,LGA,YYZ
123,3,185978,269921,UA,8268, ,1, ,1,J,AC,856,YYZ,LHR
124,1,42350,302488,UA,1314, ,12, ,1,J,UA,1314,ORD,DCA
124,2,124664,907100,UA,4180, ,13, ,1,J,UA,4180,DCA,EWR
124,3,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
125,1,99805,721992,UA,2414, ,2, ,1,J,UA,2414,ORD,BNA
125,2,191766,301242,UA,8688, ,3, ,1,J,AC,8624,BNA,YUL
125,3,186405,272243,UA,8296, ,1, ,1,J,AC,864,YUL,LHR
126,1,142819,39688,UA,5376, ,11, ,1,J,UA,5376,ORD,BUF
126,2,131246,952172,UA,4558, ,7, ,1,J,UA,4558,BUF,EWR
126,3,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
127,1,38618,276115,UA,1215, ,8, ,2,J,UA,1215,ORD,PIT
127,2,77129,555164,UA,2000, ,12, ,1,J,UA,2000,PIT,IAD
127,3,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
128,1,121344,884039,UA,3676, ,5, ,1,J,UA,3676,ORD,RIC
128,2,121760,887321,UA,3695, ,5, ,1,J,UA,3695,RIC,EWR
128,3,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
129,1,119579,870283,UA,3607, ,8, ,1,J,UA,3607,ORD,SAV
129,2,155639,140319,UA,6165, ,3, ,1,J,UA,6165,SAV,IAD
129,3,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
130,1,152419,115902,UA,5890, ,5, ,1,J,UA,5890,ORD,DTW
130,2,184238,260330,UA,8150, ,1, ,1,J,AC,8776,DTW,YYZ
130,3,188087,281357,UA,8412, ,5, ,1,J,AC,858,YYZ,LHR
131,1,20163,145447,UA,606, ,9, ,1,J,UA,606,ORD,EWR
131,2,188411,283161,UA,8432, ,5, ,1,J,AC,8881,EWR,YYZ
131,3,185978,269921,UA,8268, ,1, ,1,J,AC,856,YYZ,LHR
132,1,19821,142970,UA,600, ,13, ,2,J,UA,600,ORD,EWR
132,2,689,4739,UA,64, ,1, ,1,J,UA,64,EWR,LIS
132,3,163207,175175,UA,6865, ,13, ,1,J,TP,1352,LIS,LHR
133,1,107065,775399,UA,2635, ,4, ,1,J,UA,2635,ORD,CLT
133,2,118401,861163,UA,3554, ,6, ,1,J,UA,3554,CLT,IAD
133,3,30370,218905,UA,924, ,2, ,1,J,UA,924,IAD,LHR
134,1,130394,946255,UA,4516, ,2, ,1,J,UA,4516,ORD,STL
134,2,117179,851755,UA,3502, ,7, ,1,J,UA,3502,STL,EWR
134,3,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
135,1,63405,455177,UA,1733, ,8, ,1,J,UA,1733,ORD,JAX
135,2,88744,640577,UA,2212, ,9, ,1,J,UA,2212,JAX,EWR
135,3,132,906,UA,14, ,2, ,1,J,UA,14,EWR,LHR
136,1,27175,196757,UA,752, ,10, ,1,J,UA,752,ORD,DCA
136,2,124664,907100,UA,4180, ,13, ,1,J,UA,4180,DCA,EWR
136,3,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
137,1,27175,196757,UA,752, ,10, ,1,J,UA,752,ORD,DCA
137,2,128265,931736,UA,4413, ,12, ,1,J,UA,4413,DCA,EWR
137,3,30172,217529,UA,904, ,1, ,1,J,UA,904,EWR,LHR
138,1,145637,62059,UA,5518, ,6, ,1,J,UA,5518,ORD,CVG
138,2,129418,939615,UA,4462, ,7, ,1,J,UA,4462,CVG,EWR
138,3,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
139,1,71631,515162,UA,1892, ,18, ,2,J,UA,1892,ORD,CLE
139,2,114639,831646,UA,3404, ,7, ,1,J,UA,3404,CLE,EWR
139,3,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
